  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2    PA0     PA1%  Pp1  PA2%  Pp2    DA0
  30  60  -7.5 140.70 18.95  7.2  6.22   .2 4.197E-01 10.57 13.8  4.86   .7 1.595E-05
  30  55  -7.5 138.33 16.69 11.3  4.52 11.7 8.554E-01 10.15 17.2  3.18  1.0 3.296E-05
  30  50  -7.5 137.17 13.54 15.4  3.58  1.0 1.757E+00  8.23 20.3  2.07  1.6 6.801E-05
  30  45  -7.5 138.79  9.07 19.4  1.61  2.6 3.594E+00  5.91 23.3  1.40  2.5 1.372E-04
  30  40  -7.5 144.52  6.62 22.7   .94 11.9 7.206E+00  3.80  1.8  1.08  2.9 2.639E-04
  30  35  -7.5 152.55  4.80   .8   .90  1.6 1.398E+01  2.52  4.7   .83  3.7 4.851E-04
  30  30  -7.5 160.96  3.69  3.0   .77  2.9 2.621E+01  2.07  8.4   .71  6.6 8.617E-04
  30  25  -7.5 170.72  2.94  5.7   .55  3.7 4.744E+01  1.64 11.2   .64  8.2 1.470E-03
  30  20  -7.5 180.87  2.59  8.8   .48  4.9 8.301E+01  1.33 13.6   .59  8.8 2.428E-03
  30  15  -7.5 190.92  2.40 11.8   .36  6.3 1.410E+02  1.11 15.9   .55  9.3 3.906E-03
  30  10  -7.5 200.79  2.51 15.1   .32  5.8 2.332E+02   .91 18.7   .50  9.5 6.144E-03
  30   5  -7.5 210.71  2.89 17.7   .40  4.1 3.766E+02   .82   .1   .48  9.5 9.456E-03
  30   0  -7.5 219.58  6.65 18.2  1.46  3.3 5.955E+02  1.20  4.6   .45  9.2 1.436E-02
  30  80    .0 131.29 15.29 16.1  5.91   .4 2.329E-02 13.85 19.3 14.56   .1 9.400E-07
  30  75    .0 135.72 15.20 18.6  5.46 11.8 4.884E-02 12.19  2.0 12.50   .1 1.914E-06
  30  70    .0 138.44 15.46 22.9  7.43 11.1 1.007E-01 11.90  6.7 10.36   .2 3.873E-06
  30  65    .0 140.85 16.26  3.2  8.67 11.9 2.047E-01 10.78 10.2  7.35   .5 7.752E-06
  30  60    .0 140.52 16.54  7.0  5.99   .7 4.146E-01  9.70 13.9  4.42   .8 1.574E-05
  30  55    .0 137.67 13.74 11.2  3.81 11.6 8.458E-01  9.52 17.1  2.80   .9 3.268E-05
  30  50    .0 136.46 11.53 15.2  2.85   .8 1.740E+00  7.65 20.0  2.02  1.5 6.764E-05
  30  45    .0 138.30  9.02 18.8  1.57  2.4 3.569E+00  5.47 22.9  1.55  2.3 1.367E-04
  30  40    .0 143.87  6.43 22.7  1.19 11.7 7.180E+00  3.60  1.6  1.21  2.9 2.642E-04
  30  35    .0 152.51  4.76  1.1   .88  1.9 1.396E+01  2.29  4.6   .94  4.5 4.845E-04
  30  30    .0 160.71  3.45  2.6   .64  3.1 2.618E+01  1.94  8.7   .79  6.8 8.620E-04
  30  25    .0 170.27  2.84  5.2   .64  3.7 4.745E+01  1.71 11.7   .68  8.0 1.475E-03
  30  20    .0 180.65  2.70  8.6   .57  4.9 8.313E+01  1.48 13.9   .60  8.8 2.435E-03
  30  15    .0 191.13  2.65 11.8   .41  6.3 1.412E+02  1.25 16.0   .54  9.3 3.907E-03
  30  10    .0 200.97  2.65 14.8   .30  6.3 2.333E+02  1.00 18.4   .49  9.5 6.142E-03
  30   5    .0 211.28  3.07 17.5   .34  3.8 3.764E+02   .82 22.5   .47  9.6 9.427E-03
  30   0    .0 219.22  5.15 18.2  1.13  3.5 5.954E+02  1.01  4.3   .46  9.4 1.438E-02
  30  80   7.5 132.11 14.70 16.0  7.11   .2 2.329E-02 14.46 18.3 14.76   .3 9.321E-07
  30  75   7.5 136.22 14.50 18.3  6.47   .2 4.854E-02 11.19 23.6 11.73   .3 1.890E-06
  30  70   7.5 138.90 13.95 22.6  7.82 11.5 9.959E-02  9.96  6.6  9.00   .4 3.812E-06
  30  65   7.5 139.67 13.15  3.8  8.41   .4 2.027E-01  8.51 10.5  5.93   .7 7.721E-06
  30  60   7.5 138.84 11.77  7.0  5.09  1.4 4.125E-01  7.72 14.5  3.64   .6 1.580E-05
  30  55   7.5 136.60 10.21 10.6  3.27 10.9 8.460E-01  7.80 17.4  2.48   .5 3.288E-05
  30  50   7.5 136.24  9.33 15.4  3.06   .1 1.743E+00  6.52 19.8  1.77  1.3 6.783E-05
  30  45   7.5 137.75  6.09 18.8  1.57  2.4 3.581E+00  4.36 22.2  1.42  2.5 1.376E-04
  30  40   7.5 144.09  4.86 21.3  1.03  4.0 7.209E+00  2.87   .4  1.21  3.2 2.648E-04
  30  35   7.5 152.49  4.75   .2   .88   .2 1.401E+01  2.11  3.6  1.00  8.1 4.861E-04
  30  30   7.5 161.22  3.56  3.4   .73  2.5 2.622E+01  1.78 10.8   .81  8.0 8.606E-04
  30  25   7.5 170.74  2.20  7.1   .58  4.2 4.744E+01  1.59 14.0   .66  8.6 1.470E-03
  30  20   7.5 180.60  1.64 10.5   .48  5.0 8.306E+01  1.46 15.4   .56  9.0 2.433E-03
